"",V1,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"1",1,AUDI A5 Cabriolet 3.0 TDI Sport S-tronic quattro,29900,03.2017,74'900,218,Automatikgetriebe,Diesel,9466 Sennwald,2023-11-18,AUDI ,A5 ,A5 Cabriolet ,,FALSE
"2",2,MERCEDES-BENZ GLB 250 AMG Line 4 MATIC,68700,06.2023,3'000,224,Automatikgetriebe,Benzin,3414 Oberburg,2023-11-18,MERCEDES-BENZ ,GLB ,GLB 250 ,,FALSE
"3",3,AUDI TTS Coupé 2.0 TFSI quattro S-Tronic,39990,10.2015,68'700,310,Automatikgetriebe,Benzin,1023 Crissier,2023-11-18,AUDI ,TTS ,TTS Coupé ,,FALSE
"4",4,VW Tiguan 2.0TSI R-Line 4Motion DSG 244 PS,49800,12.2022,19'300,244,Automatikgetriebe,Benzin,8302 Kloten,2023-11-18,VW ,Tiguan ,Tiguan 2.0TSI ,,FALSE
"5",5,SKODA Octavia Combi 2.0 TDI DSG RS 4x4,38800,05.2022,28'400,200,Automatikgetriebe,Diesel,8302 Kloten,2023-11-18,SKODA ,Octavia ,Octavia Combi ,,FALSE
"6",6,SUZUKI JIMNY 1.5 COMPACT+ 4x4 | 2 PLACES | MANUELL,28790,Tageszulassung,1,102,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,JIMNY ,JIMNY 1.5 ,,FALSE
"7",7,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21650,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"8",8,SUZUKI NEW IGNIS 1.2i COMPACT+ HYBRID AUTOMAT,21450,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"9",9,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"10",10,SUZUKI NEW IGNIS 1.2i COMPACT TOP HYBRID 4X4,22690,Neues Fahrzeug,1,83,Handschaltung,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,NEW ,NEW IGNIS ,,FALSE
"11",11,SUZUKI SWIFT 1.2i COMPACT TOP HYBRIDE AUTOMATIC,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,SWIFT ,SWIFT 1.2i ,,FALSE
"12",12,SUZUKI SWIFT 1.2i COMPACT TOP HYBRID AUTOMAT,24650,Neues Fahrzeug,1,83,Automatikgetriebe,Benzin,"4665  Oftringen (AG),  Tychbodenstrasse 3.",2023-11-18,SUZUKI ,SWIFT ,SWIFT 1.2i ,,FALSE
"13",13,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
"14",14,SUZUKI NEW SWIFT 1.2 COMPACT + HYBRIDE AUTOMATIC,21490,Tageszulassung,1,83,Automatikgetriebe,Benzin,1122 Romanel-sur-Morges,2023-11-18,SUZUKI ,NEW ,NEW SWIFT ,,FALSE
