"",element,car_names,car_prices,car_registered_date,car_km,car_PS,car_configuration,car_fuelType,car_adresse,Datum,Marke,Typ_grob,Typ,Status,VerkauftIn
"1",1,PORSCHE Cayenne Turbo S,69800,05.2016,46'300,570,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,PORSCHE ,Cayenne ,Cayenne Turbo ,,FALSE
"2",2,BMW 430i xDrive Cabriolet M Sport Steptronic,62800,03.2022,5'000,245,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,BMW ,430i ,430i xDrive ,,FALSE
"3",3,MINI Cooper S Cabriolet DKG,23800,03.2019,68'000,192,Automatikgetriebe,Benzin,8730 Uznach SG,2023-11-22,MINI ,Cooper ,Cooper S ,,FALSE
"4",4,SUBARU Forester 2.0i e-Boxer Luxury Lineartronic,37900,12.2019,8'000,150,Automatikgetriebe,Hybrid,6343 Rotkreuz,2023-11-22,SUBARU ,Forester ,Forester 2.0i ,,FALSE
"5",5,PORSCHE Cayenne GTS,72900,03.2016,62'000,440,Automatikgetriebe,Benzin,5035 Unterentfelden,2023-11-22,PORSCHE ,Cayenne ,Cayenne ,,FALSE
"6",6,PEUGEOT 807 2.0 16V HDi Allure Tiptronic,8500,02.2012,115'089,163,Automatikgetriebe,Diesel,6403 Küssnacht am Rigi,2023-11-22,PEUGEOT ,807 ,807 2.0 ,,FALSE
"7",7,AUDI S3 Limousine 2.0 TFSI quattro S-tronic,31900,08.2019,103'208,301,Automatikgetriebe,Benzin,6403 Küssnacht am Rigi,2023-11-22,AUDI ,S3 ,S3 Limousine ,,FALSE
"8",8,PEUGEOT 206 2.0 16V RC,35000,06.2005,50,227,Handschaltung,Benzin,8308 Illnau,2023-11-22,PEUGEOT ,206 ,206 2.0 ,,FALSE
"9",9,MERCEDES-BENZ E 220 d Avantgarde 9G-Tronic,33900,05.2017,42'433,194,Automatikgetriebe,Diesel,8604 Volketswil / Zürich,2023-11-22,MERCEDES-BENZ ,E ,E 220 ,,FALSE
"10",10,MERCEDES-BENZ E 250 7G-Tronic,22900,08.2013,147'641,211,Automatikgetriebe,Benzin,8309 Nürensdorf / Zürich,2023-11-22,MERCEDES-BENZ ,E ,E 250 ,,FALSE
"11",11,AUDI A5 Sportback 45 TFSI S Line quattro S-Tronic,39890,02.2021,72'700,265,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,A5 ,A5 Sportback ,,FALSE
"12",12,AUDI S5 Sportback 3.0 V6 TDI quattro T-Tronic,70980,12.2022,11'900,341,Automatikgetriebe,Diesel,9542 Münchwilen,2023-11-22,AUDI ,S5 ,S5 Sportback ,,FALSE
"13",13,AUDI Q8 e-tron 55 S Line quattro,79900,02.2023,1'500,408,Automatikgetriebe,Elektro,9542 Münchwilen,2023-11-22,AUDI ,Q8 ,Q8 e-tron ,,FALSE
"14",14,AUDI S5 Cabriolet 3.0 V6 TFSI quattro T-Tronic,70980,03.2022,9'300,354,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,S5 ,S5 Cabriolet ,,FALSE
"15",15,SUZUKI SWIFT 1.2 Piz Sulai Top Hybrid 4x4,24990,Vorführmodell,3'200,83,Handschaltung,Benzin,9542 Münchwilen,2023-11-22,SUZUKI ,SWIFT ,SWIFT 1.2 ,,FALSE
"16",16,AUDI S3 Limousine 2.0 TFSI quattro S-Tronic,42980,02.2023,9'300,310,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,AUDI ,S3 ,S3 Limousine ,,FALSE
"17",17,SEAT ATECA 2.0 TSI DSG FR 4Drive,39780,10.2022,15'800,190,Automatikgetriebe,Benzin,9542 Münchwilen,2023-11-22,SEAT ,ATECA ,ATECA 2.0 ,,FALSE
